sentence,cause,effect,is_causal
"The company had further offered a once-off hardship allowance of R2000 to help workers deal with financial difficulties arising from the no-work, no-pay principle in place while they were striking."," to help workers deal with financial difficulties arising from the no-work, no-pay principle in place while they were striking",The company had further offered a once-off hardship allowance of R2000,1
"The company had further offered a once-off hardship allowance of R2000 to help workers deal with financial difficulties arising from the no-work, no-pay principle in place while they were striking.","the no-work, no-pay principle in place",financial difficulties,1
"May 19, 2012 00:00 IST Members of the Dakshina Kannada and Udupi district units of the Communist Party of India ( CPI ) staged a protest in front of the Deputy Commissioner 's office here on Friday condemning the BJP Government for arresting Vittala Malekudiya, a postgraduate student of Mass Communication and Journalism of Mangalore University, for alleged links with Maoists.", condemning the BJP Government,Members of the Dakshina Kannada and Udupi district units of the Communist Party of India ( CPI ) staged a protest in front of the Deputy Commissioner 's office here on Friday,1
"May 19, 2012 00:00 IST Members of the Dakshina Kannada and Udupi district units of the Communist Party of India ( CPI ) staged a protest in front of the Deputy Commissioner 's office here on Friday condemning the BJP Government for arresting Vittala Malekudiya, a postgraduate student of Mass Communication and Journalism of Mangalore University, for alleged links with Maoists.","arresting Vittala Malekudiya, a postgraduate student of Mass Communication and Journalism of Mangalore University, for alleged links with Maoists.",condemning the BJP Government,1
"Amplats workers went on strike on September 12, demanding a monthly salary of R16,000."," demanding a monthly salary of R16,000",Amplats workers went on strike on September 12,1
"`` Prolonged strikes may lead to the company closing down, '' he said after a Congress of SA Trade Unions rally in Rustenburg.",Prolonged strikes,the company closing down,1
"|PTI GAYA : A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky for overtaking his vehicle near police line in Bihar 's Gaya district, triggering protests in the area.",overtaking his vehicle near police line in Bihar 's Gaya district,A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky,1
"|PTI GAYA : A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky for overtaking his vehicle near police line in Bihar 's Gaya district, triggering protests in the area.",A 20 - year-old youth was shot dead allegedly by JD(U) MLC Manorama Devi 's son Rocky, triggering protests in the area,1
The youth 's murder took political overtones this morning with the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim to express sorrow and later addressed a large number of people who had blocked road near Mahabir bridge to protest against the murder.,the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim to express sorrow and later addressed a large number of people who had blocked road near Mahabir bridge to protest against the murder,The youth 's murder took political overtones this morning,1
The youth 's murder took political overtones this morning with the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim to express sorrow and later addressed a large number of people who had blocked road near Mahabir bridge to protest against the murder., to express sorrow,the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim,1
The youth 's murder took political overtones this morning with the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim to express sorrow and later addressed a large number of people who had blocked road near Mahabir bridge to protest against the murder.,against the murder,a large number of people who had blocked road near Mahabir bridge to protest,1
The youth 's murder took political overtones this morning with the Leader of Opposition ( LoP ) Prem Kumar meeting the family members of the victim to express sorrow and later addressed a large number of people who had blocked road near Mahabir bridge to protest against the murder., to protest,a large number of people who had blocked road near Mahabir bridge,1
"The protesters, led by the Gaya district unit BJP President Anil Swami, raised slogans against the district police demanding arrest of the prime accused in the murder case.", demanding arrest of the prime accused in the murder case,"The protesters, led by the Gaya district unit BJP President Anil Swami, raised slogans against the district police",1
"Parties ask AP to resume talks HYDERABAD, JANUARY 21 A day after the Maoists bandh marked by bloodshed, uneasy calm continued in the state even as the Telangana Rashtra Samiti ( TRS ) pressurised the government to halt encounters and resume dialogue with the militants.",the Maoists bandh,bloodshed,1
"Parties ask AP to resume talks HYDERABAD, JANUARY 21 A day after the Maoists bandh marked by bloodshed, uneasy calm continued in the state even as the Telangana Rashtra Samiti ( TRS ) pressurised the government to halt encounters and resume dialogue with the militants.",the Telangana Rashtra Samiti ( TRS ) pressurised the government to halt encounters and resume dialogue with the militants,uneasy calm continued in the state,1
"The move was seen as highly controversial and sparked about 13,000 to take to the streets in a protest that ended in clashes with police.",The move was seen as highly controversial,"about 13,000 to take to the streets in a protest",1
"The move was seen as highly controversial and sparked about 13,000 to take to the streets in a protest that ended in clashes with police.","about 13,000 to take to the streets in a protest", that ended in clashes with police,1
"In a separate and extremely rare protest, more than 2,000 members of the legal profession marched against Beijing ’ s meddling in the local legal system.",against Beijing ’ s meddling in the local legal system,"In a separate and extremely rare protest, more than 2,000 members of the legal profession marched",1
"Additional forces were deployed in sensitive areas a day after four persons were killed and 44 others, including security personnel, injured in stone-pelting and resultant firing when a mob attacked a BSF camp in Ramban district over alleged high-handedness by a BSF team.","a day after four persons were killed and 44 others, including security personnel, injured in stone-pelting and resultant firing when a mob attacked a BSF camp in Ramban district over alleged high-handedness by a BSF team",Additional forces were deployed in sensitive areas,1
"Additional forces were deployed in sensitive areas a day after four persons were killed and 44 others, including security personnel, injured in stone-pelting and resultant firing when a mob attacked a BSF camp in Ramban district over alleged high-handedness by a BSF team.",stone-pelting and resultant firing,"four persons were killed and 44 others, including security personnel, injured",1
"Additional forces were deployed in sensitive areas a day after four persons were killed and 44 others, including security personnel, injured in stone-pelting and resultant firing when a mob attacked a BSF camp in Ramban district over alleged high-handedness by a BSF team.",a mob attacked a BSF camp in Ramban district,stone-pelting and resultant firing,1
"Additional forces were deployed in sensitive areas a day after four persons were killed and 44 others, including security personnel, injured in stone-pelting and resultant firing when a mob attacked a BSF camp in Ramban district over alleged high-handedness by a BSF team.",alleged high-handedness by a BSF team,a mob attacked a BSF camp in Ramban district,1
"Mandya : Farmers protest as outflow from KRS is increased September 25, 2015 00:00 IST Even as the water-level in Krishnaraja Sagar, near Srirangapatna, is plummeting steeply, the rate of outflow was increased on Thursday evening.",outflow from KRS is increased,Farmers protest,1
"Thiruvananthapuram : Protest against assault on woman in Kochi June 25, 2011 00:00 IST Dozens of people, including women, took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight in protest against the alleged assault on Tasni Banu, a woman BPO employee of the Infopark in Kochi a few days ago.",against assault on woman in Kochi,Protest,1
"Thiruvananthapuram : Protest against assault on woman in Kochi June 25, 2011 00:00 IST Dozens of people, including women, took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight in protest against the alleged assault on Tasni Banu, a woman BPO employee of the Infopark in Kochi a few days ago."," in protest against the alleged assault on Tasni Banu, a woman BPO employee of the Infopark in Kochi a few days ago","Dozens of people, including women, took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight",1
The participants raised slogans demanding stern action to check atrocities against women in the name of moral policing., demanding stern action to check atrocities,The participants raised slogans,1
The participants raised slogans demanding stern action to check atrocities against women in the name of moral policing.,against women in the name of moral policing,demanding stern action to check atrocities,1
Tens of thousands of pro-democracy protesters have marched across Hong Kong to mark the 20th anniversary of its return to Chinese control with a high-profile show of dissent., to mark the 20th anniversary of its return to Chinese control with a high-profile show of dissent,Tens of thousands of pro-democracy protesters have marched across Hong Kong,1
“ We are here to fight for democracy and universal suffrage. ”, for democracy and universal suffrage,We are here to fight,1
"“ I think it is very selfish, ” explained the teenager, who was at his first rally and said he had come because he wanted to experience first-hand Hong Kong ’ s vibrant democracy movement.",he wanted to experience first-hand Hong Kong ’ s vibrant democracy movement,he had come,1
Both of these issues remain deeply unpopular among city residents and previous government attempts to enact security legislation and national education sparked mass protests.,Both of these issues remain deeply unpopular among city residents and previous government attempts to enact security legislation and national education,mass protests.,1
"“ It is absolutely impermissible. ” Little more than an hour before Xi ’ s speech, democracy protesters were attacked by pro-China demonstrators and hauled away by police as they attempted to march on the daily flag-raising ceremony.",they attempted to march on the daily flag-raising ceremony,democracy protesters were attacked by pro-China demonstrators and hauled away by police,1
Thousands of heavily armed troops have paraded through cities in China ’ s troubled far west with officials there vowing a “ thunderous ” anti-terror crackdown after an apparent upsurge in deadly ethnic violence.,an apparent upsurge in deadly ethnic violence,Thousands of heavily armed troops have paraded through cities in China ’ s troubled far west with officials there vowing a “ thunderous ” anti-terror crackdown,1
Last Tuesday three machete-wielding attackers were reported to have been gunned down by police after they killed five civilians in Hotan ’ s Pishan county.,they killed five civilians in Hotan ’ s Pishan county,Last Tuesday three machete-wielding attackers were reported to have been gunned down by police,1
On 28 December four assailants were reportedly shot dead after using home-made explosives to launch a deadly assault on a government compound in Karakax county.,using home-made explosives to launch a deadly assault on a government compound in Karakax county,On 28 December four assailants were reportedly shot dead,1
On 28 December four assailants were reportedly shot dead after using home-made explosives to launch a deadly assault on a government compound in Karakax county., to launch a deadly assault on a government compound in Karakax county,using home-made explosives,1
China says Islamic extremists and separatists are behind such attacks although human rights activists suspect much of the violence is driven by resentment at Communist party rule among the region ’ s predominantly Muslim ethnic Uighur population.,human rights activists suspect much of the violence is driven by resentment at Communist party rule among the region ’ s predominantly Muslim ethnic Uighur population,China says Islamic extremists and separatists are behind such attacks,1
China says Islamic extremists and separatists are behind such attacks although human rights activists suspect much of the violence is driven by resentment at Communist party rule among the region ’ s predominantly Muslim ethnic Uighur population.,resentment at Communist party rule among the region ’ s predominantly Muslim ethnic Uighur population,much of the violence,1
China ’ s leaders declared a “ people ’ s war on terror ” in 2014 after a series of attacks that took place or were linked to Xinjiang.,a series of attacks that took place or were linked to Xinjiang,China ’ s leaders declared a “ people ’ s war on terror ” in 2014,1
07th April 2016 12:37 AM Students of Jammu University shout slogans during a protest rally against the police action on non-Kashmiri students in NIT,a protest rally,Students of Jammu University shout slogans,1
07th April 2016 12:37 AM Students of Jammu University shout slogans during a protest rally against the police action on non-Kashmiri students in NIT,against the police action on non-Kashmiri students in NIT,a protest rally,1
"Srinagar in Jammu | PTI SRINAGAR : Tension prevailed at NIT here with outstation students today making a slew of demands, including shifting the institute out of Kashmir and action against the policemen involved in lathicharge yesterday, as an HRD team rushed here from Delhi to resolve the crisis being witnessed since last six days.",outstation students today making a slew of demands,Tension prevailed at NIT here,1
"Srinagar in Jammu | PTI SRINAGAR : Tension prevailed at NIT here with outstation students today making a slew of demands, including shifting the institute out of Kashmir and action against the policemen involved in lathicharge yesterday, as an HRD team rushed here from Delhi to resolve the crisis being witnessed since last six days.", to resolve the crisis being witnessed since last six days,an HRD team rushed here from Delhi,1
"Seeking to allay apprehensions of the students who feared that the agitation will have a bearing on their academic performance as exams are due, the Union Minister said the HRD team will stay at NIT Srinagar till exams, which begin on April 11, are not over.",who feared that the agitation will have a bearing on their academic performance,apprehensions of the students,1
"Seeking to allay apprehensions of the students who feared that the agitation will have a bearing on their academic performance as exams are due, the Union Minister said the HRD team will stay at NIT Srinagar till exams, which begin on April 11, are not over.",exams are due,who feared that the agitation will have a bearing on their academic performance,1
"Seeking to allay apprehensions of the students who feared that the agitation will have a bearing on their academic performance as exams are due, the Union Minister said the HRD team will stay at NIT Srinagar till exams, which begin on April 11, are not over.", Seeking to allay apprehensions of the students who feared that the agitation will have a bearing on their academic performance as exams are due,"the Union Minister said the HRD team will stay at NIT Srinagar till exams, which begin on April 11, are not over",1
"Earlier, in a letter to the HRD ministry through NIT administration, the students had demanded hoisting of national flag, action against staff involved in anti-national activities and replacing Jammu and Kashmir Police by CRPF for security of the NIT campus, which has been gripped by tension following clashes in the wake of India 's loss to West Indies in the World T 20 Cup.",security of the NIT campus,replacing Jammu and Kashmir Police by CRPF,1
"Earlier, in a letter to the HRD ministry through NIT administration, the students had demanded hoisting of national flag, action against staff involved in anti-national activities and replacing Jammu and Kashmir Police by CRPF for security of the NIT campus, which has been gripped by tension following clashes in the wake of India 's loss to West Indies in the World T 20 Cup.",clashes,"the NIT campus, which has been gripped by tension",1
"Earlier, in a letter to the HRD ministry through NIT administration, the students had demanded hoisting of national flag, action against staff involved in anti-national activities and replacing Jammu and Kashmir Police by CRPF for security of the NIT campus, which has been gripped by tension following clashes in the wake of India 's loss to West Indies in the World T 20 Cup.",India 's loss to West Indies in the World T 20 Cup,clashes,1
"Members of the Mamelodi community staged a protest at the High Court Thursday, complaining that he should have been in jail and that his bail should not have been extended.",complaining that he should have been in jail and that his bail should not have been extended,Members of the Mamelodi community staged a protest at the High Court Thursday,1
"The SAHRC investigated Tatane 's death, during a protest in Ficksburg in April 2011, followed a complaint by the Council for the Advancement of the SA Constitution.",a complaint by the Council for the Advancement of the SA Constitution,The SAHRC investigated Tatane 's death,1
"The SAHRC investigated Tatane 's death, during a protest in Ficksburg in April 2011, followed a complaint by the Council for the Advancement of the SA Constitution.",a protest in Ficksburg in April 2011,Tatane 's death,1
"`` If a suitably qualified person had been chosen, such a person would have foreseen that the demonstration would degenerate into violence and prepared for that eventuality, '' said SAHRC said.",a suitably qualified person had been chosen,such a person would have foreseen that the demonstration would degenerate into violence and prepared for that eventuality,1
"`` If a suitably qualified person had been chosen, such a person would have foreseen that the demonstration would degenerate into violence and prepared for that eventuality, '' said SAHRC said.",the demonstration,violence,1
"`` If a suitably qualified person had been chosen, such a person would have foreseen that the demonstration would degenerate into violence and prepared for that eventuality, '' said SAHRC said.",such a person would have foreseen that the demonstration would degenerate into violence,prepared for that eventuality,1
"Delhi BJP Protests Against Power Tariff Hike 01st February 2014 02:07 PM Criticising the Delhi government for its failure to check power tariff hike, the Bharatiya Janata Party ( BJP ) Saturday protested against the hike in the national capital.",its failure to check power tariff hike,Criticising the Delhi government,1
"Delhi BJP Protests Against Power Tariff Hike 01st February 2014 02:07 PM Criticising the Delhi government for its failure to check power tariff hike, the Bharatiya Janata Party ( BJP ) Saturday protested against the hike in the national capital.",against the hike in the national capital,the Bharatiya Janata Party ( BJP ) Saturday protested,1
"As the information was spread in the area, the public started gathering in front of the check-post demanding the arrest of the policeman.",the information was spread in the area,the public started gathering in front of the check-post,1
"As the information was spread in the area, the public started gathering in front of the check-post demanding the arrest of the policeman.", demanding the arrest of the policeman,the public started gathering in front of the check-post,1
"- Indian Express Debamitra Majumder, Rajeev Kumar, Rajeev Kumar, Debamitra Majumder : New delhi, Fri Apr 16 2010, 02:02 hrs Raising slogans like "" Panchayato me lar kar pahunche hain, Sansad me bhi lar ke pahuchenge "" ( we fought to reach the panchayats, we will fight to reach the Parliament ), Muslim women from different parts of the country assembled at Jantar Mantar on Thursday, demanding the passage of Women 's Reservation Bill in the Lok Sabha in the current session of the Parliament.", demanding the passage of Women 's Reservation Bill in the Lok Sabha in the current session of the Parliament,Muslim women from different parts of the country assembled at Jantar Mantar on Thursday,1
"Muslim women sit on dharna, demand passage of Womens Reservation Bill", demand passage of Womens Reservation Bill,Muslim women sit on dharna,1
There was also largescale displacement in Kandhamal district during and after the 2008 riots following the killing of Swami Lakshmanananda Saraswati.,the killing of Swami Lakshmanananda Saraswati,There was also largescale displacement in Kandhamal district during and after the 2008 riots,1
"The IEC in the Eastern Cape has overcome road blocks, intimidation and missing ballot papers for its 4165 voting stations to be running smoothly, it said on Wednesday.",its 4165 voting stations to be running smoothly,"The IEC in the Eastern Cape has overcome road blocks, intimidation and missing ballot papers",1
About 28 organisations under the banner of Confederation of Sanathana Dharma Suhruth Vedi launched agitations about 20 months ago demanding that the study centres be opened., demanding that the study centres be opened,About 28 organisations under the banner of Confederation of Sanathana Dharma Suhruth Vedi launched agitations about 20 months ago,1
"The TAC and a group of Khayelitsha residents, some of them HIV-positive, are seeking the reinstatement of the workers fired on June 11 after allegedly participating in the public service strike.",participating in the public service strike,the workers fired on June 11,1
Andhra Bifurcation : Mixed Response for Seemandhra Bandh 07th December 2013 03:28 PM The two-day bandh call given by the pro-United Andhra Pradesh groups against the Cabinet 's nod for draft bill for bifurcation of the state has evoked a mixed response in the coastal Andhra and Rayalaseema regions on the second day today.,against the Cabinet 's nod for draft bill for bifurcation of the state,The two-day bandh call given by the pro-United Andhra Pradesh groups,1
Andhra Bifurcation : Mixed Response for Seemandhra Bandh 07th December 2013 03:28 PM The two-day bandh call given by the pro-United Andhra Pradesh groups against the Cabinet 's nod for draft bill for bifurcation of the state has evoked a mixed response in the coastal Andhra and Rayalaseema regions on the second day today.,The two-day bandh call given by the pro-United Andhra Pradesh groups against the Cabinet 's nod for draft bill for bifurcation of the state,a mixed response in the coastal Andhra and Rayalaseema regions on the second day today,1
Police took into custody fifteen activists for blocking the traffic in Visakhapatnam.,blocking the traffic in Visakhapatnam,Police took into custody fifteen activists,1
"LeT militant held for beheading Congress leader 21st May 2011 12:04 PM JAMMU : A Lashkar-e-Taiba ( LeT ) terrorist has been arrested for the murder of Congress leader Abdul Gani Rather last week, police said Saturday.",the murder of Congress leader Abdul Gani Rather last week,A Lashkar-e-Taiba ( LeT ) terrorist has been arrested,1
"KRISHNAGIRI : Call to shun all forms of violence against women December 13, 2012 00:00 IST Over 300 people form human chain in Krishnagiri Over 300 people, including a sub judge, professors and college students, formed a human chain in Krishnagiri on Wednesday to shun all forms of violence against women.", to shun all forms of violence against women,"Over 300 people, including a sub judge, professors and college students, formed a human chain in Krishnagiri on Wednesday",1
"Campaign against Negligence of Girl Child, a non-governmental organisation, and the District Legal Services Authority jointly organised the human chain as part of the worldwide campaign on violence against women from November 25 to December 12.", as part of the worldwide campaign on violence against women from November 25 to December 12,"Campaign against Negligence of Girl Child, a non-governmental organisation, and the District Legal Services Authority jointly organised the human chain",1
"Dehradun : Mining will hit agriculturally-rich Tehri region, say villagers August 24, 2014 00:00 IST More than 500 villagers on Saturday protested against the stone crushers who have been licensed to mine the agriculturally-rich region of Tehri district ’ s Maletha gram sabha.",who have been licensed to mine the agriculturally-rich region of Tehri district ’ s Maletha gram sabha,More than 500 villagers on Saturday protested against the stone crushers,1
"The memorandum given to Chief Minister Harish Rawat, on Saturday, read : “ The stone crushers working in the area will [ be the cause of dust and health problems which will ] result in migration of the population … here most of the people are completely dependent on the earnings from the agricultural produce [ and the dust from the stone crushers would destroy agriculture ]. ”",The stone crushers working in the area,dust and health problems,1
"The memorandum given to Chief Minister Harish Rawat, on Saturday, read : “ The stone crushers working in the area will [ be the cause of dust and health problems which will ] result in migration of the population … here most of the people are completely dependent on the earnings from the agricultural produce [ and the dust from the stone crushers would destroy agriculture ]. ”",dust and health problems,migration of the population,1
"The memorandum given to Chief Minister Harish Rawat, on Saturday, read : “ The stone crushers working in the area will [ be the cause of dust and health problems which will ] result in migration of the population … here most of the people are completely dependent on the earnings from the agricultural produce [ and the dust from the stone crushers would destroy agriculture ]. ”",the dust from the stone crushers, would destroy agriculture,1
Seven people - four militants and three security personnel - were killed in the first two days of the battle.,the first two days of the battle,Seven people - four militants and three security personnel - were killed,1
"Dr Joshi said, “ The protest was to make the government realise the hazards of allowing stone crushers to function in an agriculturally rich area.",to make the government realise the hazards of allowing stone crushers to function in an agriculturally rich area,The protest,1
The incident triggered outrage across the country and was condemned as despicable and shameful stirring memories of a similar attack last December in New Delhi that sparked nationwide protests.,The incident, triggered outrage across the country and <SIG2>was condemned</SIG2> as despicable and shameful <SIG1>stirring</SIG1> memories of a similar attack last December in New Delhi that sparked nationwide protests,1
The incident triggered outrage across the country and was condemned as despicable and shameful stirring memories of a similar attack last December in New Delhi that sparked nationwide protests.,a similar attack last December in New Delhi,nationwide protests,1
AAP Workers Protest Against Kejriwal Over Ticket to Khayalia 28th February 2014 02:27 PM Several disgruntled AAP workers here protested against its chief Arvind Kejriwal for allotting party ticket to former IAS officer Yudhvir Singh Khayalia from Hisar Lok Sabha seat.,allotting party ticket to former IAS officer Yudhvir Singh Khayalia from Hisar Lok Sabha seat,Several disgruntled AAP workers here protested against its chief Arvind Kejriwal,1
"The party workers burnt posters of AAP leaders Manish Sisodia, Yogendra Yadav and Kejriwal after the party had earlier in the day announced a second list of 30 candidates for the general elections.",the party had earlier in the day announced a second list of 30 candidates for the general elections,"The party workers burnt posters of AAP leaders Manish Sisodia, Yogendra Yadav and Kejriwal",1
"The party workers burnt posters of AAP leaders Manish Sisodia, Yogendra Yadav and Kejriwal after the party had earlier in the day announced a second list of 30 candidates for the general elections.",the general elections,the party had earlier in the day announced a second list of 30 candidates,1
"AAP workers had yesterday gathered outside the party office at Rishi Nagar here and expressed their resentment and raised slogans against the party and its leaders for allotting ticket to Khayalia, who was recently inducted into the party.","allotting ticket to Khayalia, who was recently inducted into the party",AAP workers had yesterday gathered outside the party office at Rishi Nagar here and expressed their resentment and raised slogans against the party and its leaders,1
"KARNATAKA Protest against poor roads September 12, 2006 00:00 IST Staff Correspondent Agitators arrested, released Gulbarga : Some people from Aland, led by MLA B.R. Patil, observed a dawn-to-dusk rasta roko in protest against poor quality roads to their town in Gulbarga on Monday.",against poor quality roads to their town in Gulbarga on Monday,"Some people from Aland, led by MLA B.R. Patil, observed a dawn-to-dusk rasta roko in protest",1
"KARNATAKA Protest against poor roads September 12, 2006 00:00 IST Staff Correspondent Agitators arrested, released Gulbarga : Some people from Aland, led by MLA B.R. Patil, observed a dawn-to-dusk rasta roko in protest against poor quality roads to their town in Gulbarga on Monday.", in protest against poor quality roads to their town in Gulbarga on Monday,"Some people from Aland, led by MLA B.R. Patil, observed a dawn-to-dusk rasta roko",1
They blocked the Gulbarga - Aland Road from 11 a.m. to 6.30 p.m. causing inconvenience to the public.,They blocked the Gulbarga - Aland Road from 11 a.m. to 6.30 p.m., causing inconvenience to the public,1
Mr. Patil and others insisted that Deputy Commissioner Pankaj Kumar Pandey arrive at the scene of protest to receive the memorandum from them., to receive the memorandum from them,Deputy Commissioner Pankaj Kumar Pandey arrive at the scene of protest,1
He was also booked by the Central Bureau of Investigation ( CBI ) as one of the 17 accused in the 2007 ‘ Dinakaran ’ newspaper office attack case.,as one of the 17 accused in the 2007 ‘ Dinakaran ’ newspaper office attack case,He was also booked by the Central Bureau of Investigation ( CBI ),1
"- Indian Express Express News Service, Express News Service : Fri Mar 18 2011, 02:17 hrs Lokayat in association with Pune Jilla Molkarin Sangathana, Shramik Mahila Morcha, Pandav Nagar Mitra Manda and Pimpri-Chinchwad Municipal Corporation Employees Union staged a dharna in front of the district collector 's office in protest against the proposed nuclear plant in Jaitapur.", in protest against the proposed nuclear plant in Jaitapur,"Lokayat in association with Pune Jilla Molkarin Sangathana, Shramik Mahila Morcha, Pandav Nagar Mitra Manda and Pimpri-Chinchwad Municipal Corporation Employees Union staged a dharna in front of the district collector 's office",1
Protest against proposed Jaitapur nuke power plant,against proposed Jaitapur nuke power plant,Protest,1
They reacted angrily when mayor James Nxumalo was not available to accept their memorandum.,mayor James Nxumalo was not available to accept their memorandum,They reacted angrily,1
"December 14, 2008 00:00 IST City divided into nine zones ; four ASPs for supervision Lucknow : In the wake of the Mumbai terror strikes, the State police has identified 109 sensitive buildings in the city and drawn up an internal security scheme to save them from similar situations.",the Mumbai terror strikes,the State police has identified 109 sensitive buildings in the city and drawn up an internal security scheme to save them from similar situations,1
"December 14, 2008 00:00 IST City divided into nine zones ; four ASPs for supervision Lucknow : In the wake of the Mumbai terror strikes, the State police has identified 109 sensitive buildings in the city and drawn up an internal security scheme to save them from similar situations.", to save them from similar situations,drawn up an internal security scheme,1
Three employees of the newspaper died when a mob hurled petrol bombs on the office following publication of a survey in which DMK president M. Karunanidhi ’ s younger son M.K. Stalin was projected as his preferred political successor than Mr. Alagiri.,a mob hurled petrol bombs on the office,Three employees of the newspaper died,1
Three employees of the newspaper died when a mob hurled petrol bombs on the office following publication of a survey in which DMK president M. Karunanidhi ’ s younger son M.K. Stalin was projected as his preferred political successor than Mr. Alagiri.,publication of a survey in which DMK president M. Karunanidhi ’ s younger son M.K. Stalin was projected as his preferred political successor than Mr. Alagiri,a mob hurled petrol bombs on the office,1
"The door and windows of the office were damaged when TRS workers torched the office after throwing petrol on it, police said.",TRS workers torched the office,The door and windows of the office were damaged,1
"The door and windows of the office were damaged when TRS workers torched the office after throwing petrol on it, police said.",throwing petrol on it,TRS workers torched the office,1
"﻿Police recovered a letter written by TRS workers threatening to carry out more such attacks to protest the arrest of their party president K. Chandrasekhara Rao, who is popularly known as KCR."," to protest the arrest of their party president K. Chandrasekhara Rao, who is popularly known as KCR",TRS workers threatening to carry out more such attacks,1
Tension gripped Khammam as KCR continued his ' fast unto death ' in a government-run hospital in Khammam demanding a separate Telangana.,KCR continued his ' fast unto death ' in a government-run hospital in Khammam,Tension gripped Khammam,1
Tension gripped Khammam as KCR continued his ' fast unto death ' in a government-run hospital in Khammam demanding a separate Telangana., demanding a separate Telangana,KCR continued his ' fast unto death ' in a government-run hospital in Khammam,1
"KCR, who was arrested Sunday and sent to judicial custody for 14 days ahead of his ' fast unto death ', launched the hunger strike in Khammam sub-jail.","KCR, who was arrested Sunday and sent to judicial custody for 14 days ahead of his ' fast unto death",launched the hunger strike in Khammam sub-jail,1
They were caned mercilessly and shooed out of the venue when some of them raised slogans against Chief Minister YS Rajasekhara Reddy who inaugurated the two-day job mela organised by the Greater Hyderabad Municipal Corporation ( GHMC ).,some of them raised slogans against Chief Minister YS Rajasekhara Reddy,They were caned mercilessly and shooed out of the venue,1
"- Indian Express Express News Service, Express News Service : Chandigarh, Fri Jul 01 2011, 03:05 hrs The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25 against the rising prices of cooking gas, petrol, diesel, etc. The protest is part of a nationwide campaign of the party on the issue.","against the rising prices of cooking gas, petrol, diesel, etc",The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25,1
"- Indian Express Express News Service, Express News Service : Chandigarh, Fri Jul 01 2011, 03:05 hrs The Chandigarh unit of Bahujan Samaj Party held a protest at the rally ground in Sector 25 against the rising prices of cooking gas, petrol, diesel, etc. The protest is part of a nationwide campaign of the party on the issue.", is part of a nationwide campaign of the party on the issue,The protest,1
BSP stir against fuel hike,against fuel hike,BSP stir,1
"OTHER STATES Seeking their due February 23, 2010 00:00 IST A A A IN AGITATION MODE : Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list.",against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list,Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday,1
"HYDERABAD : Exam mood back on OU campus March 24, 2011 00:00 IST Examination mood is slowly setting in Osmania University that that has repeated postponement of examinations owing to the Telangana agitation.",the Telangana agitation,that has repeated postponement of examinations,1
"But with the agitation in full swing and disturbances on the campus, they were further postponed.",But with the agitation in full swing and disturbances on the campus,they were further postponed,1
"A civilian was also abducted along with the troopers either on suspicion of being a policeman or for interfering in the abduction, he added.",either <SIG1>on suspicion of</SIG1> being a policeman or for interfering in the abduction,A civilian was also abducted along with the troopers,1
""" We have searched several jungle areas in Narayanpur and its neighbouring Kanker district in a bid to trace out the abducted cops and civilian.",to trace out the abducted cops and civilian,We have searched several jungle areas in Narayanpur and its neighbouring Kanker district,1
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament, and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday.",the intemperate language they used against Members of Parliament,The Lok Sabha on Tuesday lashed out against Team Anna members,1
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament, and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday.",“ lowering the dignity of the House ”,strongly condemned them,1
